RUA RIACHUELO                                                           SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007000 
RUA DOUTOR FALCÃO FILHO                                                 CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007010 
PRAÇA DA BANDEIRA                                                       CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007020 
GALERIA PRESTES MAIA                                                    CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007030 
PARQUE ANHANGABAÚ                                                       CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007040 
PASSARELA CARLOS DRUMMOND DE ANDRADE                                    CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007050 
VIADUTO DOUTOR EUSÉBIO STEVAUX                                          CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007060 
LARGO FERNANDO GALLEGO                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007070 
PASSARELA DO PIQUES                                                     CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007080 
RUA DOUTOR FARIA PEREIRA, 56                                            CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007900 
RUA DOUTOR FARIA PEREIRA, 56                                            CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01007900 
RUA RIACHUELO, 44                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007901 
RUA RIACHUELO, 44                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007901 
RUA RIACHUELO, 115                                                      SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007904 
RUA RIACHUELO, 115                                                      SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007904 
RUA RIACHUELO, 20                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007905 
RUA RIACHUELO, 20                                                       SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007905 
RUA RIACHUELO, 231                                                      SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007906 
RUA RIACHUELO, 231                                                      SÉ                                                                      SÃO PAULO                                                               SÃO PAULO                                                               SP01007906 
RUA LÍBERO BADARÓ                                                       CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008000 
RUA DOUTOR MIGUEL COUTO                                                 CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008010 
RUA DOUTOR MIGUEL COUTO, 53                                             CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008900 
RUA DOUTOR MIGUEL COUTO, 53                                             CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008900 
RUA DOUTOR MIGUEL COUTO, 58                                             CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008901 
RUA DOUTOR MIGUEL COUTO, 58                                             CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008901 
RUA LÍBERO BADARÓ, 92                                                   CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008902 
RUA LÍBERO BADARÓ, 92                                                   CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008902 
RUA LÍBERO BADARÓ, 152                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008903 
RUA LÍBERO BADARÓ, 152                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008903 
RUA LÍBERO BADARÓ, 158                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008904 
RUA LÍBERO BADARÓ, 158                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008904 
RUA LÍBERO BADARÓ, 346                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008905 
RUA LÍBERO BADARÓ, 346                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008905 
RUA LÍBERO BADARÓ, 504                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008906 
